# Date Created: 21-Feb-2023 (10:40:05),,,,
Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
135.7,-34.6,999,-34.9,-34.5
140.7,-34.6,999,-34.9,-34.5
145.7,-34.6,999,-34.9,-34.5
150.7,-34.6,999,-34.8,-34.5
155.7,-34.6,999,-34.8,-34.5
160.7,-34.6,999,-34.8,-34.4
0.2,-34.2,999,-34.2,-34
5.3,-34.2,999,-34.2,-34
10.3,-34.2,999,-34.2,-34
15.3,-34.2,999,-34.1,-34
20.3,-34.2,999,-34.1,-34
25.3,-34.2,999,-34.2,-33.9
30.3,-34.2,999,-34.2,-34
35.3,-34.2,999,-34.2,-34
40.3,-34.2,999,-34.2,-34
45.3,-34.2,999,-34.2,-34
50.4,-34.3,999,-34.2,-34
55.4,-34.2,999,-34.2,-34
60.4,-34.2,999,-34.2,-34
65.4,-34.2,999,-34.2,-34
70.4,-34.3,999,-34.2,-34.1
75.4,-34.3,999,-34.2,-34
80.4,-34.3,999,-34.2,-34.1
85.4,-34.3,999,-34.2,-34
90.4,-34.3,999,-34.2,-34.1
95.5,-34.2,999,-34.2,-34.1
100.5,-34.2,999,-34.2,-34.1
105.5,-34.3,999,-34.2,-34
110.5,-34.2,999,-34.2,-34
115.5,-34.3,999,-34.2,-34
120.6,-34.2,999,-34.2,-34
0.1,-34,999,-33.8,-33.7
5.1,-34,999,-33.7,-33.7
10.1,-34,999,-33.8,-33.6
15.1,-33.9,999,-33.7,-33.6
20.1,-33.9,999,-33.7,-33.5
25.1,-33.9,999,-33.7,-33.5
30.2,-33.9,999,-33.7,-33.5
35.2,-33.9,999,-33.7,-33.5
40.2,-33.9,999,-33.7,-33.5
45.2,-33.8,999,-33.7,-33.5
50.3,-33.8,999,-33.6,-33.4
55.3,-33.8,999,-33.6,-33.4
60.3,-33.8,999,-33.6,-33.4
65.3,-33.8,999,-33.5,-33.3
70.3,-33.8,999,-33.5,-33.3
75.3,-33.8,999,-33.4,-33.3
80.3,-33.7,999,-33.4,-33.3
85.3,-33.6,999,-33.4,-33.2
90.4,-33.7,999,-33.3,-33.2
95.4,-33.6,999,-33.3,-33.1
100.4,-33.6,999,-33.3,-33.1
105.4,-33.6,999,-33.3,-33.1
110.5,-33.6,999,-33.2,-33.1
115.5,-33.4,999,-33.2,-33.1
120.5,-33.5,999,-33.1,-33
125.5,-33.4,999,-33.1,-33
130.5,-33.4,999,-33,-32.8
135.6,-33.4,999,-33,-32.8
140.6,-33.4,999,-33,-32.8
145.6,-33.3,999,-32.9,-32.7
150.6,-33.3,999,-32.9,-32.7
155.6,-33.2,999,-32.8,-32.6
160.6,-33.1,999,-32.8,-32.6
165.6,-33.1,999,-32.7,-32.5
170.6,-33,999,-32.6,-32.4
175.6,-33,999,-32.4,-32.3
180.6,-32.8,999,-32.4,-32.3
185.7,-32.7,999,-32.3,-32.1
190.7,-32.6,999,-32.2,-32
195.7,-32.5,999,-32,-31.9
200.7,-32.3,999,-31.7,-31.6
205.7,-32.1,999,-31.4,-31.4
210.7,-31.6,999,-31.1,-31.1
215.7,-31.2,999,-30.8,-30.8
220.8,-30.9,999,-30.4,-30.1
225.7,-30.5,999,-29.8,-29.7
230.8,-30.1,999,-29.3,-29.4
235.8,-29.7,999,-28.9,-28.9
240.8,-29.3,999,-28.4,-28.5
245.8,-28.8,999,-28,-28
250.9,-28.4,999,-27.7,-27.6
255.9,-27.9,999,-27.1,-27.1
260.9,-27.5,999,-26.7,-26.7
265.9,-26.9,999,-26.3,-26.1
270.9,-26.4,999,-25.6,-25.6
275.9,-26,999,-25,-25.2
280.9,-25.5,999,-24.6,-24.7
286,-25.1,999,-24.2,-24.3
291,-24.7,999,-23.7,-23.8
295.9,-24.1,999,-23.3,-23.3
301,-23.8,999,-22.8,-22.9
306,-23.3,999,-22.3,-22.4
311,-22.9,999,-21.9,-22
316.1,-22.3,999,-21.2,-21.3
321,-21.8,999,-20.9,-20.9
326.1,-21.5,999,-20.4,-20.4
331.1,-21.1,999,-20,-20
336.1,-20.7,999,-19.6,-19.6
341.1,-20.3,999,-19.3,-19.3
346.1,-20.1,999,-19.1,-18.9
351.1,-19.8,999,-18.8,-18.7
356.2,-19.7,999,-18.6,-18.4
361.1,-19.4,999,-18.4,-18.2
366.2,-19.3,999,-18.3,-18.1
371.2,-19.1,999,-18.2,-17.9
376.2,-19,999,-18.1,-17.8
381.2,-18.9,999,-18,-17.4
386.2,-18.8,999,-18,-17.6
391.2,-18.8,999,-17.9,-17.3
